"Screened.2nd.time","ActiveScreener.Id","Title","Authors","Q1","Q2","Q3","Year","Study.Type","Application","Effect.Type","Common.Name","Scientific.Name","Age.Group","Location","Priority","Notes"
"Joe",13976123,"Effects of an unprecedented summer heatwave on the growth performance, flesh colour and plasma biochemistry of marine cage-farmed Atlantic salmon (Salmo salar)","Wade, Nicholas M., Clark, Timothy D., Maynard, Ben T.  et al.","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2020,"Observational","Aquaculture","Survival","atlantic salmon","Salmo salar","Adult","Other","high",""
"Joe",13976112,"The effect of the rate of temperature increase on the critical thermal maximum for parr of Atlantic salmon and brown trout","Elliott, J. M., Elliott, J. A. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1995,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Juvenile","Other","high",""
"Joe",13976095,"Effect of Reduction in Water Salinity on Osmoregulation and Survival of Large Atlantic Salmon Held at High Water Temperature","Gonçalves, J., Carraça, S., Damasceno?Oliveira, A.  et al.","Salinity, Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2006,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Adult","Other","high",""
"Joe",13976088,"Effect of low temperature on seawater tolerance in Atlantic Salmon (Salmo salar) Smolts","Sigholt, Trygve, Finstad, Bengt ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1990,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Adult","Other","high",""
"Joe",13976083,"The effect of heat and cold exposure on HSP70 expression and development of deformities during embryogenesis of Atlantic salmon (Salmo salar)","Takle, H., Baeverfjord, G., Lunde, M.  et al.","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2005,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Egg","Other","high",""
"Joe",13976024,"DEVELOPMENT OF ATLANTIC SALMON (SALMO-SALAR) EGGS AND ALEVINS UNDER VARIED TEMPERATURE REGIMES","Peterson, R. H., Spinney, H. C. E., Sreedharan, A. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1977,"Experimental","Wild","Survival","atlantic salmon","Salmo salar","Egg","Other","high",""
"Joe",13975996,"CRITICAL THERMAL MAXIMA FOR YOUNG SALMONIDS","Grande, M., Andersen, S. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1991,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Juvenile","Other","high",""
"Joe",13975968,"Comparative Evaluation of Toleration to Heating and Hypoxia of Three Kinds of Salmonids","Shi, K. P., Dong, S. L., Zhou, Y. G.  et al.","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2018,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Adult","Other","high",""
"Joe",13975956,"Cloning and characterization of the executioner caspases 3, 6, 7 and Hsp70 in hyperthermic Atlantic salmon ( 
<i>Salmo salar</i>) embryos","Takle, H., McLeod, A., Andersen, O. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2006,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Egg","Other","high","lower limit"
"Joe",13975949,"Circulating growth hormone levels in Atlantic salmon smolts following seawater transfer: effects of photoperiod regime, salinity, duration of exposure and season","Bjornsson, B. T., Stefansson, G. V., Berge, A. I.  et al.","Salinity","Yes, include the reference","Atlantic salmon (Salmo salar)",1998,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Juvenile","Other","high",""
"Joe",13975926,"Cardiorespiratory responses of seawater-acclimated adult Arctic char (Salvelinus alpinus) and Atlantic salmon (Salmo salar) to an acute temperature increase","Penney, Chantelle M., Nash, Gordon W., Gamperl, AKurt ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2014,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Adult","Other","high","thermal maximum"
"Joe",13975898,"Behaviour during elevated water temperatures: can physiology explain movement of juvenile Atlantic salmon to cool water","Breau, Cindy, Cunjak, Richard A., Peake, Stephan J. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2011,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Adult","Other","high","thermal tolerance"
"Joe",13975886,"The Atlantic salmon's ( 
<i>Salmo salar</i>) incremental thermal maximum is a more relevant and sensitive indicator of family-based differences in upper temperature tolerance than its critical thermal maximum","Ignatz, E. H., Sandrelli, R. M., Vadboncoeur, É  et al.","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2023,"Experimental","Wild","Survival","atlantic salmon","Salmo salar","Adult","Canada","high","in situ thermal maximum"
"Joe",13975857,"Adaptive management strategies to protect Atlantic salmon (Salmo salar) under environmentally stressful conditions","Breau, C., Caissie, D. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2013,"Model","Wild","Survival","atlantic salmon","Salmo salar","Adult","Canada","high","temperature thresholds used by management"
"Joe",13975850,"Acute critical thermal maximum does not predict chronic incremental thermal maximum in Atlantic salmon (Salmo salar) [Corrigendum: Oct. 2023, v. 284, p. 111491]","Bartlett, Charlotte B., Garber, Amber F., Gonen, Serap  et al.","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2022,"Experimental","Aquaculture","Survival","atlantic salmon","Salmo salar","Adult","Other","high","upper thermal tolerance"
