ActiveScreener Id,Time of Screening,Title,Authors,Question,Question.N,List of Reviewers,Answers
13976399,05/30/2024 11:54:03,Integrating process-based flow and temperature models to assess riparian forests and temperature amelioration in salmon streams,"Fabris, Luca, Malcolm, Iain A., Buddendorf, Willem Bastiaan  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976398,05/29/2024 17:15:31,"An integrated linkage map reveals candidate genes underlying adaptive variation in Chinook salmon ( 
<i>Oncorhynchus tshawytscha</i>)","McKinney, G. J., Seeb, L. W., Larson, W. A.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976397,05/20/2024 17:03:26,Influences of thermal environment on fish growth,"Boltaña, Sebastián, Sanhueza, Nataly, Aguilar, Andrea  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976396,05/29/2024 13:58:09,"Influences of low temperature stress on antioxidant status and expression of stress-related genes of American shad, Alosa sapidissima","Zhang, Dekang ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976395,05/21/2024 10:57:14,(The influence of the proteolytic enzyme Maxatase-P) on the embryonic development of the herring (Clupea harengus) in various salinity temperature conditions),"Rosenthal, H., Mann, H. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Salinity"""
13976394,05/20/2024 14:55:14,"The influence of temperature stress on the physiology of the Atlantic surfclam, 
<i>Spisula solidissima</i>","Hornstein, J., Espinosa, E. P., Cerrato, R. M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976393,05/20/2024 17:04:06,Influence of Temperature Stress on Lipid Stability of Atlantic Herring (Clupea harengus) Muscle During Frozen Storage,"Dang, Huong Thi Thu, Gudjónsdóttir, María, Karlsdóttir, Magnea G.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976392,05/28/2024 17:16:30,The influence of temperature on total amylase activity of the intestinal mucosa of some fishes of the Pechora River Basin,"Ponomarev, V. I. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976391,05/29/2024 12:15:09,"Influence of temperature on the immune response of juvenile summer flounder, Paralichthysdentatus, and its role in the elimination of Trypanoplasmabullocki infections","Sypek, Joseph P., Burreson, Eugene M. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976390,05/17/2024 20:30:47,Influence of temperature on the behaviour and physiology of Atlantic salmon (Salmo Salar) on a commercial farm,"Korus, Jennie, Filgueira, Ramón, Grant, Jon ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976389,05/20/2024 19:47:27,"Influence of temperature on morphology and physiology of salmonid embryos, larvae and alevins","Ryzhkov, L. P. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976388,05/24/2024 12:18:56,"Influence of temperature on evasive responses of Atlantic herring larvae attacked by yearling herring, Clupea harengus L","Fuiman, L. A. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976387,05/20/2024 17:06:12,"Influence of temperature on energy utilization of embryonic and prolarval tautog, Tautoga onitis","Laurence, G. C. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976386,05/23/2024 13:55:13,"Influence of temperature change on spontaneous locomotor activity and oxygen consumption of Atlantic Salmon, Salmo salar, acclimated to two temperatures","Peterson, R. H., Anderson, J. M. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976385,05/29/2024 15:32:21,"Influence of Supplemental Dietary Cholesterol on Growth Performance, Indices of Stress, Fillet Pigmentation, and Upper Thermal Tolerance of Female Triploid Atlantic Salmon ( 
<i>Salmo salar</i>)","Ignatz, E. H., Sandrelli, R. M., Tibbetts, S. M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976384,05/28/2024 16:26:59,Influence of sea temperature upon the numbers of grilse and multi-sea-winter Atlantic salmon (Salmo salar ) caught in the vicinity of the River Dee (Aberdeenshire),"Martin, J. H. A., Mitchell, K. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976383,05/20/2024 17:02:35,The influence of salinity on the morphological development of yolk sac larvae of Atlantic halibut Hippoglossus hippoglossus (L.),"Bolla, S., Ottesen, O. H. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976382,05/20/2024 17:07:41,"Influence of salinity on eggs, sperm and larvae of low-vertebral herring reproducing in the coastal waters of the Soviet Union","Dushkina, L. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976381,05/29/2024 15:41:55,Influence of photoperiod on the number and ultrastructure of gill chloride cells of the Atlantic salmon (Salmo salar ) before and during smoltification,"Lubin, R. T., Rourke, A. W., Saunders, R. L. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976380,05/17/2024 21:54:40,Influence of Photoperiod on Growth of Juvenile Atlantic Salmon and Development of Salinity Tolerance during Winter-Spring,"Saunders, Richard L., Harmon, Paul R. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Salinity"""
13976379,05/17/2024 22:05:19,Influence of mesoscale physical forcing on trophic pathways and fish larvae retention in the central Cantabrian Sea,"Gonzalez-Quiros, Rafael, Pascual, Ananda, Gomis, Damia  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""None"""
13976378,05/24/2024 12:23:04,The influence of low temperatures above freezing upon the rate of autolytic and bacterial decomposition of haddock muscle,"Hess, E. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""None"""
13976377,05/20/2024 17:04:40,Influence of incubation temperature on body movements of Atlantic cod (Gadus morhua L.) embryos and on size at hatch,"Peterson, Richard H., Martin-Robichaud, Deborah J., Harmon, Paul ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976376,05/24/2024 12:55:49,"Influence of environmental, spatial, and ontogenetic variables on habitat selection and management of spiny dogfish in the Northeast (US) shelf large marine ecosystem","Sagarese, Skyler R., Frisk, Michael G., Miller, Thomas J.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976375,05/29/2024 12:14:15,Influence of early thermic and photoperiodic control on growth and smoltification in Atlantic salmon (Salmo salar ),"Gaignon, J. L., Quemener, L. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976374,05/29/2024 12:26:57,Influence of dietary nutrients on low temperature tolerance of freshwater alewives,"Snyder, Randal J., Murray, Eric K. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976373,05/29/2024 15:34:26,Induction of winter flounder antifreeze protein messenger RNA at 4 degree C in vivo and in vitro,"Price, J. L., Gourlie, B. B., Lin, Y.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976372,05/23/2024 12:28:30,Induction of triploidy in Atlantic salmon by heat shock,"Johnstone, R. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976371,05/29/2024 12:24:58,Induced Diploid Gynogenesis in White Bass,"Gomelsky, Boris, Cherfas, Nina B., Gissis, Achikam  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976370,05/21/2024 13:20:55,An individual-based growth and transport model of the early life-history stages of mackerel (Scomber scombrus) in the eastern North Atlantic,"Bartsch, J., Coombs, S. H. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976369,05/24/2024 12:27:09,"Individual variability in activity patterns of juvenile Atlantic salmon (Salmo salar) in Catamaran Brook, New Brunswick","Breau, Cindy, Weir, Laura K., Grant, James W. A. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976368,05/29/2024 12:59:09,Indicators of Osmotic and Ion Regulation in the Fish of the White Sea,"Martemyanov, V. I. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976367,05/20/2024 19:46:22,Increment formation in otoliths of slow-growing winter flounder (Pleuronectes americanus) larvae in cold water,"Casas, M. C. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976366,05/17/2024 22:08:34,"Increased ventricular stiffness and decreased cardiac function in Atlantic cod ( 
<i>Gadus morhua</i>) at high temperatures","Syme, D. A., Gamperl, A. K., Nash, G. W.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976365,05/29/2024 15:45:46,Increased flexibility as a strategy for cold adaptation -: A comparative molecular dynamics study of cold- and warm-active uracil DNA glycosylase,"Olufsen, M., Smalås, A. O., Moe, E.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976364,05/21/2024 11:22:27,"Increased acute thermal tolerance and little change to hematology following acclimation to warm water in juvenile Striped Bass, 
<i>Morone saxatilis</i>","Penny, F. M., Pavey, S. A. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976363,05/30/2024 11:45:41,Inactivation of viruses infecting ectothermic animals by amphibian and piscine antimicrobial peptides,"Chinchar, V. G., Bryan, L., Silphadaung, U.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976362,05/28/2024 17:15:50,"In vitro thermal characteristics of K super(+) and Na super(+) induced melanophore responses in a cold ocean teleost, Pseudopleuronectes americanus)","Burton, D., Everard, B. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976361,05/30/2024 11:38:20,An in vitro culture system for peripheral blood leucocytes of a sciaenid fish,"Lopresto, Christina J., Schwarz, Leslie Kendall, Burnett, Karen G. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976360,05/30/2024 12:02:15,In vitro cultivation and temperature-dependent growth of two strains of Spironucleus barkhanus (Diplomonadida: Hexamitidae) from Atlantic salmon Salmo salar and grayling Thymallus thymallus,"Sterud, Erik ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976359,05/30/2024 11:54:47,In vitro Assessment of Hg Toxicity in Hepatocytes from Heat-Stressed Atlantic Salmon,"Olsvik, P. A., Waagbo, R., Hevroy, E. M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976358,05/17/2024 22:01:54,"Improved mitochondrial function in salmon ( 
<i>Salmo salar</i>) following high temperature acclimation suggests that there are cracks in the proverbial 'ceiling'","Gerber, L., Clow, K. A., Mark, F. C.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976357,05/21/2024 13:24:00,The importance of oligohaline estuarine wetland habitats to fisheries resources,"Rozas, L. P., Hackney, C. T. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Salinity"""
13976356,05/29/2024 12:24:41,Importance of body size for acclimation of underyearling Atlantic salmon parr (Salmo salar L.) to seawater,"Bjerknes, V., Duston, J., Knox, D.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976355,05/20/2024 14:57:41,Implications of Future Northwest Atlantic Bottom Temperatures on the American Lobster (Homarus americanus) Fishery,"Rheuban, Jennie E., Kavanaugh, Maria T., Doney, Scott C. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976354,05/24/2024 12:18:25,Impedance Pneumography for Minimally Invasive Measurement of Heart Rate in Late Stage Invertebrates,"Harrington, A. M., Haverkamp, H., Hamlin, H. J. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976353,05/29/2024 15:29:48,Impacts of thermal acclimatization on fish skeletal muscle,"Moran, C. J., Coughlin, D. J., Jebb, K. E.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976352,05/17/2024 17:36:44,Impacts of temperature and food availability on the condition of larval Arctic cod (Boreogadus saida) and walleye pollock (Gadus chalcogrammus),"Koenker, Brittany L., Copeman, Louise A., Laurel, Benjamin J. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976351,05/20/2024 14:54:24,"The impacts of diel thermal variability on growth, development and performance of wild Atlantic salmon (Salmo salar) from two thermally distinct rivers","Andrew, Sean, Swart, Sula, McKenna, Stephanie  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976350,05/20/2024 14:54:02,The impact of temperature on the metabolome and endocrine metabolic signals in Atlantic salmon (Salmo salar),"Kullgren, Andreas, Jutfelt, Fredrik, Fontanillas, Ramon  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976349,05/20/2024 11:36:14,"Impact of temperature and growth hormone on growth physiology of juvenile Atlantic wolffish ( 
<i>Anarhichas lupus</i>)","Arnason, T., Gunnarsson, A., Steinarsson, A.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976348,05/17/2024 20:28:20,"Impact of temperature and dietary replacement of fishmeal on cardiovascular remodelling and growth performance of adult Atlantic salmon 
<i> (Salmo</i> 
<i> salar</i> L.)","Foddai, M., Carter, C. G., Anderson, K.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976347,05/29/2024 15:42:04,"Impact of stress phenotype, elevated temperature, and bacterin exposure on male Atlantic salmon (Salmo salar) growth, stress, and immune biomarker gene expression","Ignatz, E. H., Rise, M. L., Gamperl, A. K. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976346,05/20/2024 14:51:58,Impact of ocean warming on sustainable fisheries management informs the Ecosystem Approach to Fisheries,"Serpetti, N., Baudron, A. R., Burrows, M. T.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976345,05/17/2024 22:04:53,The impact of ocean warming on juvenile American lobster recruitment off southeastern Massachusetts,"Casey, Flynn, Churchill, James H., Cowles, Geoffrey W.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976344,05/29/2024 12:56:40,Impact of ocean acidification and warming on mitochondrial enzymes and membrane lipids in two Gadoid species,"Leo, E., Graeve, M., Storch, D.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976343,05/28/2024 17:20:22,"Impact of long-term moderate hypercapnia and elevated temperature on the energy budget of isolated gills of Atlantic cod ( 
<i>Gadus morhua</i>)","Kreiss, C. M., Michael, K., Bock, C.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976342,05/28/2024 17:18:28,The impact of environmental variability on Atlantic mackerel Scomber scombrus larval abundance to the west of the British Isles,"Pitois, Sophie G., Jansen, Teunis, Pinnegar, John ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"", ""Salinity"""
13976341,05/21/2024 11:29:23,"Impact of environmental temperature on Atlantic cod Gadus morhua energy allocation to growth, condition and reproduction","Morgan, M. J., Rideout, R. M., Colbourne, E. B. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976340,05/29/2024 15:46:21,Impact of an acute temperature change on performance and metabolism of pickerel (Esox niger) and Eel (Anguilla rostrata) hearts,"Bailey, John R., Sephton, Dawn H., Driedzic, William R. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976339,05/28/2024 17:17:43,IMMUNOLOGICAL ASSESSMENT OF HYBRID STRIPED BASS AT 3 CULTURE TEMPERATURES,"Carlson, R. E., Baker, E. P., Fuller, R. E. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976338,05/20/2024 14:49:53,Identifying Sciaenid Critical Spawning Habitats by the Use of Passive Acoustics,"Luczkovich, Joseph J., Pullinger, R. Christopher, Johnson, Stephen E.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Salinity"""
13976337,05/20/2024 14:46:06,Identification of lifecycle bottlenecks to assess the vulnerability of fish species to climate change,"Dahlke, Flemming ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976336,05/30/2024 12:08:59,Identification of genes associated with heat tolerance in Arctic charr exposed to acute thermal stress,"Quinn, Nicole L., McGowan, Colin R., Cooper, Glenn A.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976335,05/29/2024 12:59:45,"Identification and control of parasites in a new species for aquaculture: A case study with striped trumpeter, Latris lineata","Andrews, M., Nowak, B., Cobcroft, J. M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976334,05/23/2024 12:29:44,"Hypoxic avoidance behaviour in cod ( 
<i>Gadus morhua</i> L.):: The effect of temperature and haemoglobin genotype","Skjæraasen, J. E., Nilsen, T., Meager, J. J.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976333,05/20/2024 17:13:31,Hypoxia tolerance of juvenile weakfish (Cynoscion regalis): Laboratory assessment of growth and behavioral avoidance responses,"Stierhoff, K. L., Tyler, R. M., Targett, T. E. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976332,05/20/2024 17:03:10,Hypoxia tolerance and responses to hypoxic stress during heart and skeletal muscle inflammation in Atlantic salmon (Salmo salar),"Lund, M., Dahle, M. K., Timmerhaus, G.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976331,05/29/2024 17:16:12,"Hypoxia tolerance and oxygen regulation in Atlantic salmon, Salmo salar from a Tasmanian population","Barnes, Robin, King, Harry, Carter, Chris G. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976330,05/17/2024 21:59:20,"Hydrometeorological Trends in the Miramichi River, Canada: Implications for Atlantic Salmon Growth","Swansburg, Erin, El-Jabi, Nassir, Caissie, Daniel  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976329,05/17/2024 22:07:42,Hsp70 is not a sensitive indicator of thermal limitation in Gadus morhua,"Zakhartsev, M., De Wachter, B., Johansen, T.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976328,05/20/2024 14:51:34,How Does Temperature Affect Primary Barrier Functions in Atlantic Salmon ( Salmo Salar L.) Post?Smolts?,"Tang, Patrik, Nilsen, Tom Ole, Gharbi, Naouel  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"", ""Salinity"""
13976327,05/24/2024 11:59:05,How and how not to investigate the oxygen and capacity limitation of thermal tolerance (OCLTT) and aerobic scope—remarks on the article by Gräns et al,"Pörtner, Hans-Otto ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976326,05/23/2024 12:30:16,"Histological and transcriptomic analysis of muscular atrophy associated with depleted flesh pigmentation in Atlantic salmon ( 
<i>Salmo salar</i>) exposed to elevated seawater temperatures","Vo, T. T. M., Amoroso, G., Ventura, T.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976325,05/20/2024 16:59:33,"Histological and enzymatic responses of Japanese flounder ( 
<i>Paralichthys olivaceus</i>) and its hybrids ( 
<i>P-olivaceus</i> a™Euro x 
<i>P-dentatus</i> a™,) to chronic heat stress","Liu, Y. F., Ma, D. Y., Zhao, C. Y.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976324,05/29/2024 17:44:24,"High-temperature stress response: Insights into the molecular regulation of American shad 
<i> (Alosa</i> 
<i> sapidissima)</i> using a multi-omics approach","Luo, M. K., Zhu, W. B., Liang, Z. Y.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976323,05/29/2024 12:07:22,"High-temperature and starvation tolerances of juvenile Japanese Spanish mackerel 
<i>Scomberomorus niphonius</i>","Harada, K., Morita, T., Deguchi, W.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976322,05/29/2024 13:57:43,"High-Resolution Reconstruction of Dissolved Oxygen Levels in the Baltic Sea With Bivalves - a Multi-Species Comparison ( 
<i>Arctica islandica</i>, 
<i>Astarte borealis</i>, 
<i>Astarte elliptica</i>)","Schoene, B. R., Huang, X. Z., Jantschke, A.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976321,05/29/2024 12:25:55,"High temperature events shape the broadscale distribution of juvenile Atlantic salmon ( 
<i>Salmo salar</i>)","Corey, Emily, Linnansaari, Tommi, Cunjak, Richard A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976320,05/24/2024 12:58:44,"High summer temperatures are associated with poorer performance of underyearling Atlantic salmon ( 
<i>Salmo salar</i>) in upland streams","Bernthal, F. R., Seaman, B. W., Rush, E.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976319,05/21/2024 11:00:13,"High heritability for thermal tolerance in Atlantic salmon, Salmo salar","Benfey, Tillmann J., Gonen, Serap, Bartlett, Charlotte B.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976318,05/24/2024 11:58:28,"High antifreeze protein levels in wolffish (Anarhichas lupus) make them an ideal candidate for culture in cold, potentially ice laden waters","Desjardins, Mariève, François, Nathalie R. Le, Fletcher, Garth L.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976317,05/30/2024 12:07:19,Hepatic ulstrastructure changes associated with the parr?smolt transformation of Atlantic salmon (Salmo salar),"Robertson, John C., Bradley, Terence M. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976316,05/20/2024 14:13:34,"Hemoglobin Genotype Has Minimal Influence on the Physiological Response of Juvenile Atlantic Cod ( 
<i>Gadus morhua</i>) to Environmental Challenges","Gamperl, A. K., Busby, C. D., Hori, T. S. F.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976315,05/29/2024 17:43:52,"Heat-shock responsive genes identified and validated in Atlantic cod ( 
<i>Gadus morhua</i>) liver, head kidney and skeletal muscle using genomic techniques","Hori, T. S., Gamperl, A. K., Afonso, L. O. B.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976314,05/17/2024 20:36:38,"Heat shock protein responses in thermally stressed bay scallops, 
<i>Argopecten irradians</i>, and sea scallops, 
<i>Placopecten magellanicus</i>","Brun, N. T., Bricelj, V. M., MacRae, T. H.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976313,05/30/2024 12:13:08,Heat denaturation of proteins from atlantic salmon (salmo salar),"Savitri, Sari ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976312,05/28/2024 17:34:19,"Heart rate as an indicator of metabolic rate and activity in adult Atlantic salmon, Salmo salar","Lucas, M. C. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976311,05/30/2024 12:08:46,"Health status evaluation of striped bass ( 
<i>Morone saxatilis</i>) exposed to low temperature in sea cage culture during the grow-out","Del Rio-Zaragoza, O. B., Araújo, B. C., Viana, M. T. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976310,05/30/2024 11:44:41,"Hatchery methods and natural, hormone-implant-induced, and synchronized spawning of captive Atlantic croaker ( 
<i>Micropogonias undulatus</i>) Linnaeus 1766","Sink, T. D., Strange, R. J., Lochmann, R. T. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"", ""Salinity"""
13976309,05/29/2024 17:46:43,The haemoglobins of polar fish: evolutionary and physiological significance of multiplicity in Arctic fish,"Verde, C., Giordano, D., di Prisco, G.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"", ""Salinity"""
13976308,05/29/2024 13:53:18,"The haemoglobin of the herring, clupea harengus","Everaarts, Jan Meindert ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976307,05/29/2024 15:48:26,Habitats and distribution patterns of marine luminous bacteria in the Western Baltic Sea,"Schulz, Claus-Jürgen, Rheinheimer, Gerhard ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976306,05/28/2024 17:28:18,Habitat- and bay-scale connectivity of sympatric fishes in an estuarine nursery,"Dance, Michael A., Rooker, Jay R. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976305,05/20/2024 14:13:07,Habitat Suitability Modeling to Evaluate Conservation and Enhancement Efforts for Gulf?Strain Striped Bass in Mississippi Coastal Rivers,"Dieterich, Jay W., Fulford, Richard S. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976304,05/28/2024 17:32:11,Habitat availability for largemough bass and striped bass in a reservoir receiving heated effluent in Virginia,"Barton, J. L. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976303,05/20/2024 14:11:08,"Growth, temperature, and density relationships of North Sea cod ( 
<i>Gadus morhua</i>)","Rindorf, A., Jensen, H., Schrum, C. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976302,05/20/2024 14:07:06,"Growth, survival and feed efficiency for post-metamorphosed Atlantic cod ( 
<i>Gadus morhua</i>) reared at different temperatures","Kling, L. J., Hansen, J. M., Jordaan, A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976301,05/29/2024 15:33:48,"GROWTH, PARR-SMOLT TRANSFORMATION, AND CHANGES IN GROWTH-HORMONE OF ATLANTIC SALMON (SALMO-SALAR) REARED UNDER DIFFERENT PHOTOPERIODS","Stefansson, S. O., Bjornsson, B. T., Hansen, T.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976300,05/21/2024 11:00:44,Growth studies with fish—overcoming the problems of size variation,"Jobling, M. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976299,05/17/2024 22:01:26,"Growth rates of large, sexually mature cod Gadus morhua, in relation to condition and temperature during an annual cycle","Pedersen, Torstein, Jobling, Malcolm ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976298,05/17/2024 22:00:23,Growth rates of juvenile winter flounder under varying environmental conditions,"Meise, C. J., Johnson, D. L., Stehlik, L. L.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"", ""Salinity"""
13976297,05/20/2024 17:10:22,Growth patterns of embryo and utilization of reserve protein in yolk during early ontogenesis of cod Gadus morhua L. at different temperatures during development,"Kuftina, N. D., Novikov, G. G. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976296,05/21/2024 10:55:17,(Growth patterns of cod from Bottnic Bight to North Sea.),"Berner, M., Sager, G. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Salinity"""
13976295,05/21/2024 13:24:38,"Growth of juveniles of White Sea common wolffish, Anarhichas lupus L., in captivity","Pavlov, Dimitri A. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976294,05/20/2024 17:02:12,"Growth of juvenile halibut, Hippoglossus hippoglossus (L.), under a constant and switched temperature regime","Aune, A., Imsland, A. K., Pittman, K. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976293,05/20/2024 14:50:21,"Growth of cod ( 
<i>Gadus morhua</i>) in the western Baltic Sea: estimating improved growth parameters from tag-recapture data","McQueen, K., Eveson, J. P., Dolk, B.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
